Time [min],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C]
42.35173,0.011770179,0.37425866,0.0094201112,0.37437047,0.011771643,0.37424369,0.0094233434,0.37435753,0.37526404,0.015144141,0.37490172,0.0092085419,0.37524963,0.015148218,0.37488867,0.0092117545,0.03614319,0.03528178,0.034813478,0.035631728,0.03614324,0.035282382,0.034814221,0.035632514,0.26399675,0.14688241,0.41731905,0.4112921,0.26397811,0.14685027,0.41730716,0.41128055,0.03816725,0.037404665,0.046300314,0.044343308,0.0381671,0.03740415,0.046303136,0.044343511,-0.010387914,-0.009672986,0.035143039,0.0085430393,-0.01038543,-0.0096705598,0.035144856,0.0085457564
43.360105,0.013486267,0.3861105,0.011061642,0.38659634,0.01348768,0.38609559,0.011064858,0.38658346,0.38722666,0.017211034,0.3872072,0.010836615,0.3872123,0.017215018,0.38719425,0.010839791,0.040576186,0.03967673,0.039163987,0.040034778,0.040576158,0.039677247,0.039164655,0.040035481,0.26023327,0.14191585,0.41445012,0.40844196,0.26021547,0.14188529,0.41443935,0.40843153,0.041465901,0.040543228,0.049831268,0.047500984,0.041465712,0.040542683,0.04983392,0.047501053,-0.0099675282,-0.0092681349,0.036284747,0.0090175993,-0.009964978,-0.0092656434,0.03628659,0.009020328
44.368479,0.015187662,0.39761038,0.01270238,0.3984732,0.015189072,0.39759507,0.012705634,0.39845994,0.39883933,0.01925815,0.39916353,0.012461625,0.39882455,0.0192621,0.39915022,0.012464815,0.044943195,0.044008847,0.04345896,0.044378025,0.044943186,0.044009374,0.043459654,0.044378732,0.25654081,0.13714054,0.41166346,0.40567816,0.2565229,0.13711081,0.41165237,0.40566743,0.044716583,0.04363505,0.053294156,0.050592165,0.044716421,0.043634536,0.053296702,0.05059215,-0.0095322571,-0.0088486586,0.037413881,0.0094849863,-0.0095295963,-0.0088460598,0.037415704,0.0094877274
45.376854,0.016866842,0.40874995,0.014337113,0.40999215,0.016868233,0.40873442,0.014340386,0.4099787,0.41009304,0.021277316,0.4107613,0.01407696,0.41007803,0.021281211,0.41074782,0.014080146,0.04921565,0.04824954,0.047670709,0.04863302,0.049215627,0.048250045,0.047671397,0.0486337,0.25291919,0.13255342,0.40895281,0.40299635,0.25290164,0.13252479,0.40894196,0.40298587,0.047895594,0.046657683,0.056665557,0.053593361,0.047895436,0.04665718,0.056667984,0.053593254,-0.0090826787,-0.0084151266,0.038532098,0.0099465451,-0.0090799283,-0.0084124404,0.038533919,0.009949299
46.385228,0.01851525,0.41952088,0.015959327,0.42114365,0.018516631,0.41950509,0.015962627,0.42112997,0.42097875,0.023259647,0.42199149,0.015674831,0.42096347,0.023263501,0.42197778,0.015678022,0.053368167,0.052373017,0.051773866,0.05277409,0.053368148,0.052373518,0.051774566,0.05277476,0.24937069,0.12815017,0.40631504,0.40039304,0.24935337,0.12812251,0.40630421,0.40038259,0.050975813,0.049585525,0.059919207,0.056478624,0.050975675,0.049585045,0.059921534,0.05647844,-0.0086194092,-0.007968142,0.039640836,0.010403385,-0.0086165646,-0.0079653644,0.039642649,0.010406152
47.393603,0.020125153,0.42991467,0.017561334,0.43191775,0.020126531,0.42989866,0.017564645,0.43190385,0.4314877,0.025197199,0.43284396,0.017246826,0.43147218,0.025201016,0.43283005,0.017250011,0.057379071,0.056357292,0.055746122,0.056779135,0.057379054,0.056357796,0.055746826,0.056779797,0.2459161,0.12392916,0.40375981,0.39786391,0.24589909,0.12390248,0.40374909,0.39785357,0.05393206,0.052394758,0.063031101,0.059224398,0.05393194,0.052394303,0.063033332,0.059224141,-0.0081429247,-0.0075083071,0.040741243,0.010856439,-0.0081399916,-0.0075054438,0.040743051,0.010859219
48.401978,0.02168787,0.43992014,0.019134828,0.44229963,0.021689246,0.4399039,0.019138148,0.44228552,0.44160814,0.027082038,0.44330328,0.018784647,0.4415924,0.027085827,0.44328914,0.018787829,0.061224616,0.060179855,0.059562398,0.060624507,0.06122461,0.060180382,0.059563104,0.060625173,0.24260696,0.11988598,0.40130593,0.3954189,0.24259023,0.11986023,0.40129528,0.39540863,0.056737432,0.055059298,0.065975662,0.061805715,0.056737339,0.055058873,0.065977808,0.061805396,-0.0076537313,-0.0070362309,0.041834322,0.01130648,-0.0076507115,-0.0070332838,0.041836124,0.011309273
49.410352,0.023193218,0.4495236,0.02067202,0.45227373,0.023194596,0.44950716,0.020675352,0.45225941,0.45132494,0.028904406,0.45335269,0.020280023,0.45130898,0.02890817,0.45333834,0.020283206,0.064875832,0.063812447,0.063194035,0.064281673,0.064875842,0.063813003,0.063194749,0.064282349,0.23947121,0.11603013,0.3989694,0.39307525,0.23945475,0.1160053,0.39895883,0.39306506,0.0593607,0.057547793,0.068722741,0.064193112,0.059360638,0.057547403,0.068724812,0.06419274,-0.0071524248,-0.0065525404,0.042920955,0.011754248,-0.007149322,-0.0065495131,0.042922752,0.011757054
50.418727,0.024631149,0.45871141,0.02216556,0.46182543,0.024632533,0.45869478,0.022168907,0.46181092,0.46062282,0.030654356,0.46297589,0.021725011,0.46060666,0.0306581,0.46296136,0.0217282,0.068302756,0.067225822,0.066611978,0.067721329,0.06830279,0.067226414,0.066612709,0.067722023,0.23651973,0.11236882,0.39676004,0.39084397,0.23650351,0.11234486,0.39674954,0.39083385,0.061772141,0.059829947,0.071245118,0.066360022,0.061772117,0.0598296,0.071247125,0.066359607,-0.0066396407,-0.0060578927,0.044001874,0.012200407,-0.0066364581,-0.0060547886,0.044003666,0.012203227
51.427101,0.02599295,0.46747089,0.023608222,0.47094128,0.025994347,0.46745407,0.023611575,0.47092659,0.46948887,0.032322691,0.47215789,0.023114816,0.46947255,0.032326414,0.47214318,0.02311805,0.07147791,0.070393242,0.069789633,0.070916505,0.071477977,0.070393875,0.069790391,0.070917225,0.23375493,0.10890502,0.39466985,0.3887356,0.23373894,0.10888188,0.39465942,0.38872554,0.063951024,0.061885372,0.073527909,0.068292033,0.063951042,0.061885071,0.073529859,0.068291583,-0.0061160422,-0.0055529755,0.04507762,0.01264552,-0.0061127836,-0.0055497986,0.045079407,0.012648354
