Time [min],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C],ΔT [°C]
48.401978,0.10454658,1.0097233,0.10016847,1.0271049,0.10454951,1.0097034,0.10017081,1.0270865,1.0104299,0.11045219,1.0272461,0.099339462,1.0104101,0.11045468,1.027228,0.099341961,0.064965577,0.065858166,0.064920727,0.064828176,0.064972069,0.065864686,0.06492653,0.064833778,-0.098376782,-0.13999518,0.12362336,0.12570848,-0.098269551,-0.13986841,0.12363576,0.12572072,0.050233296,0.049230043,0.073556016,0.067924847,0.050236632,0.049233345,0.073556613,0.067925615,0.034374059,0.032333444,0.11892191,0.042634274,0.034378909,0.032337946,0.11892224,0.042635867
49.410352,0.10678096,0.95642409,0.10270789,0.97452665,0.10678312,0.95640742,0.10270953,0.97451128,0.95713005,0.11265603,0.97455801,0.10191496,0.95711335,0.11265763,0.97454287,0.10191677,0.057979751,0.059041853,0.057825894,0.057631639,0.057986216,0.059048326,0.057831613,0.057637161,-0.18283361,-0.22026945,0.010879189,0.014028255,-0.18271452,-0.22012933,0.010894125,0.014043014,0.050598074,0.049569923,0.073332563,0.067573317,0.050601398,0.049573225,0.073332492,0.067573523,0.03753592,0.035146939,0.11426617,0.042446068,0.037540461,0.035151159,0.11426618,0.042447138
50.418727,0.10818958,0.89128496,0.10449052,0.90998712,0.10819087,0.89127155,0.10449135,0.90997474,0.89197298,0.11397506,0.90990649,0.10373713,0.89195952,0.11397566,0.90989434,0.10373815,0.050805775,0.052034624,0.050524455,0.050226782,0.050812142,0.052040978,0.050530031,0.050232164,-0.26607362,-0.29865412,-0.10454736,-0.10039217,-0.2659439,-0.29850212,-0.10452941,-0.10037442,0.050399293,0.04934404,0.072201592,0.066347584,0.050402563,0.049347301,0.072200812,0.06634719,0.040615849,0.037900086,0.10863911,0.041967252,0.040619997,0.037903943,0.10863876,0.041967759
51.427101,0.10878749,0.81543659,0.10552565,0.83460969,0.1087879,0.81542663,0.10552569,0.83460047,0.81609244,0.11442342,0.83441559,0.10480899,0.81608239,0.11442302,0.83440658,0.1048092,0.043468611,0.044858949,0.043042706,0.042639699,0.043474813,0.04486511,0.043048077,0.042644875,-0.34751523,-0.37469132,-0.22138486,-0.21626022,-0.34737663,-0.37452937,-0.22136424,-0.21623984,0.049596349,0.048514317,0.070143986,0.06422564,0.049599545,0.048517518,0.0701425,0.064224649,0.043584382,0.040566033,0.10211762,0.041211725,0.043588101,0.040569486,0.1021169,0.041211651
52.435476,0.10853778,0.73173666,0.10576126,0.75122957,0.1085373,0.73172997,0.10576051,0.75122332,0.73234995,0.11396616,0.75092254,0.10507196,0.73234315,0.11396474,0.75091649,0.10507134,0.036072194,0.037612724,0.035491506,0.034983748,0.036078165,0.037618627,0.035496611,0.034988659,-0.42474014,-0.44621773,-0.33564498,-0.32957924,-0.42459453,-0.44604787,-0.33562208,-0.32955661,0.048168703,0.047064297,0.067198696,0.061249307,0.048171799,0.047067411,0.067196511,0.061247724,0.046308283,0.043024108,0.094898359,0.040188869,0.046311544,0.043027117,0.094897253,0.040188205
53.44385,0.10730952,0.652531,0.1050081,0.67212055,0.10730832,0.65252518,0.10500673,0.67211493,0.65310325,0.11250004,0.67171803,0.10434345,0.65309729,0.11249778,0.67171259,0.10434218,0.029142695,0.030803583,0.028434201,0.027836204,0.029148328,0.030809129,0.028438943,0.02784075,-0.48706517,-0.50345692,-0.4299336,-0.42307742,-0.48691812,-0.50328463,-0.42991222,-0.42305631,0.046234317,0.045123189,0.063748341,0.057814208,0.046237292,0.045126191,0.063745494,0.057812054,0.048285895,0.044807634,0.087934695,0.038967634,0.04828883,0.04481032,0.087933113,0.038966466
54.452225,0.10558395,0.56793835,0.10379439,0.58754678,0.10558192,0.56793633,0.10379228,0.58754468,0.5684607,0.11050071,0.58704794,0.10314804,0.56845852,0.11049752,0.58704601,0.103146,0.02222755,0.024004226,0.02138512,0.020695605,0.022232932,0.024009496,0.021389603,0.020699892,-0.54857885,-0.55963378,-0.52410271,-0.51645466,-0.54842683,-0.55945592,-0.52407789,-0.51643014,0.043770078,0.042658686,0.059605922,0.053711954,0.043772932,0.04266158,0.059602507,0.053709326,0.050130687,0.046480129,0.080526224,0.037603292,0.050133121,0.046482331,0.080524374,0.037601611
55.460599,0.10337766,0.47842948,0.1021257,0.49798148,0.10337482,0.47843021,0.10212286,0.49798185,0.47889277,0.10799052,0.4973876,0.1014939,0.47889332,0.10798644,0.49738813,0.10149111,0.015346867,0.017234653,0.014366841,0.01358496,0.015351911,0.017239561,0.014370978,0.013588906,-0.60903588,-0.61456289,-0.61793188,-0.60947711,-0.60888034,-0.61438093,-0.61790562,-0.60945118,0.040782502,0.039679751,0.054793721,0.048969848,0.040785215,0.039682514,0.05478973,0.048966734,0.051819891,0.048018264,0.072695647,0.036090918,0.051821863,0.048020016,0.072693456,0.036088722
56.468974,0.10070844,0.38509514,0.10000477,0.40451567,0.10070477,0.38509897,0.10000115,0.40451884,0.38548973,0.10499876,0.40383119,0.099386517,0.38549333,0.10499377,0.40383451,0.099382912,0.0085487799,0.010541871,0.0074307841,0.0065576341,0.0085534632,0.010546395,0.0074345549,0.0065612239,-0.66783949,-0.66772958,-0.71053988,-0.70123879,-0.66768027,-0.66754349,-0.7105116,-0.70121088,0.037298644,0.036216198,0.049368211,0.043648464,0.037301202,0.036218817,0.049363669,0.043644885,0.053315398,0.049384867,0.064511956,0.03442979,0.053316874,0.049386138,0.064509448,0.034427079
57.477348,0.097591791,0.28771196,0.097443314,0.30693348,0.097587289,0.28771895,0.097438911,0.30693951,0.28802713,0.10154244,0.30616304,0.096835557,0.28803387,0.10153656,0.3061692,0.096831133,0.0018158426,0.0039092976,0.00055977494,-0.00040367478,0.0018201319,0.0039134042,0.00056315271,-0.00040046833,-0.72550097,-0.71961919,-0.80263104,-0.79243269,-0.72533831,-0.71942927,-0.80260086,-0.79240293,0.03332179,0.032272531,0.043333479,0.037754072,0.033324183,0.032274996,0.043328407,0.037750048,0.054619533,0.050578611,0.055944808,0.032611012,0.054620501,0.050579389,0.055941985,0.032607785
