Time [s],QS [W],QS_i [W],QS_elec [W],Q_load [W],T_eta [degC],alpha [-],alpha_th [-],eta [-]
5021.7052,745.69466,994.25955,284.88051,-5.4999986,-12.732643,0,-0.0087855235,0.0087855235
5082.2076,745.69612,994.2615,284.1433,-5.4999986,-5.538899,0,-0.0038218403,0.0038218403
5142.7101,745.69727,994.26303,283.4248,-5.4999986,1.0956205,0,0.00075597812,-0.00075597812
5203.2126,745.69843,994.26457,282.72495,-5.4999986,7.2553713,0,0.0050062062,-0.0050062062
5263.7151,745.69958,994.26611,282.04315,-5.4999986,12.994218,0,0.0089660107,-0.0089660107
5324.2175,745.70023,994.26697,281.54829,-5.4999986,17.931453,0,0.012372702,-0.012372702
5384.72,745.70038,994.26717,281.16523,-5.4999986,22.222732,0,0.015333685,-0.015333685
5445.2225,745.70053,994.26737,280.79198,-5.4999986,26.267973,0,0.018124901,-0.018124901
5505.7249,745.70068,994.26757,280.42832,-5.4999986,30.088681,0,0.02076119,-0.02076119
5566.2274,745.70049,994.26732,280.07435,-5.4999986,33.703284,0,0.023255266,-0.023255266
5626.7299,745.69963,994.26617,279.73581,-5.4999986,37.121494,0,0.025613831,-0.025613831
5687.2324,745.69877,994.26502,279.41445,-5.4999986,40.255528,0,0.027776314,-0.027776314
5747.7348,745.6979,994.26387,279.10979,-5.4999986,42.972486,0,0.029651016,-0.029651016
5808.2373,-19.114197,-25.485596,-37.208668,-5.4999986,42.724011,0,0.029479567,-0.029479567
5868.7398,-19.117219,-25.489625,-35.054971,-5.4999986,39.671283,0,0.027373185,-0.027373185
5929.2422,-19.120241,-25.493655,-33.021438,-5.4999986,36.7886,0,0.025384134,-0.025384134
5989.7447,-19.123263,-25.497684,-31.104022,-5.4999986,34.070232,0,0.02350846,-0.02350846
6050.2471,-19.126285,-25.501713,-29.357687,-5.4999986,31.594311,0,0.021800075,-0.021800075
